Quarter,AVG_LOWERREG ($/MW),AVG_LOWER5MIN ($/MW),AVG_LOWER60SEC ($/MW),AVG_LOWER6SEC ($/MW),AVG_LOWER1SEC ($/MW),AVG_RAISEREG ($/MW),AVG_RAISE5MIN ($/MW),AVG_RAISE60SEC ($/MW),AVG_RAISE6SEC ($/MW),AVG_RAISE1SEC ($/MW)
2016 Q1,2,0,0,0,0,2,1,2,2,0
2016 Q2,7,1,0,0,0,16,5,5,8,0
2016 Q3,6,0,0,0,0,19,3,3,5,0
2016 Q4,9,0,0,0,0,15,2,4,7,0
2017 Q1,23,0,0,0,0,24,3,2,5,0
2017 Q2,29,0,0,0,0,32,6,5,12,0
2017 Q3,22,0,0,0,0,37,15,9,17,0
2017 Q4,21,0,0,0,0,28,9,7,17,0
2018 Q1,14,0,0,0,0,16,4,2,4,0
2018 Q2,9,0,0,0,0,25,20,10,15,0
2018 Q3,9,0,0,0,0,25,21,11,14,0
2018 Q4,12,0,0,0,0,31,16,8,8,0
2019 Q1,13,0,0,0,0,30,5,4,3,0
2019 Q2,19,0,0,0,0,39,3,6,4,0
2019 Q3,22,0,0,0,0,44,2,8,9,0
2019 Q4,21,0,0,0,0,46,1,9,11,0
2020 Q1,14,0,0,2,0,48,20,20,42,0
2020 Q2,10,1,1,1,0,18,1,6,11,0
2020 Q3,7,1,1,1,0,15,1,4,7,0
2020 Q4,9,1,2,1,0,17,1,5,7,0
2021 Q1,11,1,2,0,0,13,1,3,4,0
2021 Q2,11,0,1,0,0,24,1,10,24,0
2021 Q3,15,1,3,1,0,24,1,10,14,0
2021 Q4,15,1,6,1,0,17,1,5,6,0
2022 Q1,10,0,3,1,0,14,1,3,3,0
2022 Q2,14,1,2,1,0,31,1,7,14,0
2022 Q3,12,1,1,1,0,25,1,5,7,0
2022 Q4,19,3,10,3,0,24,0,2,7,0
2023 Q1,14,5,7,2,0,14,1,2,4,0
2023 Q2,5,1,1,0,0,17,1,7,8,0
2023 Q3,10,2,3,1,0,18,1,4,9,0
2023 Q4,8,2,4,1,19,10,0,1,7,19
2024 Q1,3,0,2,0,1,5,0,1,1,28
2024 Q2,3,0,1,0,0,6,0,1,2,10
2024 Q3,4,0,1,0,0,6,0,1,5,5
2024 Q4,3,0,1,0,0,7,0,0,0,4
2025 Q1,3,0,1,0,0,8,0,0,1,1
