Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1785715,-,South Australia,Australia,-34.91,138.58,9,45,9,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,DNI,Surface Albedo,Pressure,Wind Speed
2020,1,1,0,30,23.400000000000002,14.9,0,0,0.17,1016,1.6
2020,1,1,1,30,22.8,15.8,0,0,0.17,1016,1.5
2020,1,1,2,30,22.200000000000003,16.900000000000002,0,0,0.17,1016,1.5
2020,1,1,3,30,21.8,17.5,0,0,0.17,1017,1.6
2020,1,1,4,30,22.200000000000003,17.7,0,0,0.17,1017,2.1
2020,1,1,5,30,23.8,17.6,56,367,0.17,1017,2.6
2020,1,1,6,30,25.900000000000002,16.400000000000002,109,490,0.17,1018,2.7
2020,1,1,7,30,27.900000000000002,15.200000000000001,149,627,0.17,1018,2.8000000000000003
2020,1,1,8,30,28.8,14,207,667,0.17,1018,2.9000000000000004
2020,1,1,9,30,24.400000000000002,7.9,192,846,0.16,1022,1.5
2020,1,1,10,30,25.900000000000002,7,190,894,0.16,1022,2
2020,1,1,11,30,27,6.300000000000001,185,920,0.16,1021,2.6
2020,1,1,12,30,27.6,6.1000000000000005,177,928,0.16,1021,3
2020,1,1,13,30,27.6,6,166,920,0.16,1021,3.3000000000000003
2020,1,1,14,30,27.200000000000003,6,164,874,0.16,1021,3.5
2020,1,1,15,30,26.400000000000002,6,160,781,0.16,1021,3.6
2020,1,1,16,30,25.200000000000003,6.300000000000001,127,699,0.16,1022,3.6
2020,1,1,17,30,23.8,6.9,89,540,0.16,1022,3.4000000000000004
2020,1,1,18,30,22.1,7.9,36,219,0.16,1023,3
2020,1,1,19,30,20.700000000000003,9.3,0,0,0.16,1023,2.9000000000000004
2020,1,1,20,30,19.700000000000003,10.700000000000001,0,0,0.16,1024,2.9000000000000004
2020,1,1,21,30,18.8,11.8,0,0,0.16,1024,2.7
2020,1,1,22,30,18,12.600000000000001,0,0,0.16,1024,2.5
2020,1,1,23,30,17.400000000000002,13,0,0,0.16,1023,2
2020,1,2,0,30,16.8,13.200000000000001,0,0,0.16,1023,1.6
2020,1,2,1,30,16.400000000000002,13.200000000000001,0,0,0.16,1023,1.3
2020,1,2,2,30,16,13.200000000000001,0,0,0.16,1023,1.2000000000000002
2020,1,2,3,30,15.700000000000001,13.200000000000001,0,0,0.16,1023,1.2000000000000002
2020,1,2,4,30,16.2,13.200000000000001,0,0,0.16,1023,1.7000000000000002
2020,1,2,5,30,17.8,13.100000000000001,53,417,0.16,1024,2.2
2020,1,2,6,30,20,12.600000000000001,87,688,0.16,1024,2.3000000000000003
2020,1,2,7,30,22.5,11.8,107,828,0.16,1023,2
2020,1,2,8,30,23.900000000000002,10.4,122,906,0.16,1023,1.7000000000000002
2020,1,2,9,30,28.1,8.6,131,952,0.16,1022,0.6000000000000001
2020,1,2,10,30,30.5,6.800000000000001,134,984,0.16,1022,0.4
2020,1,2,11,30,32.1,5.6000000000000005,130,1003,0.16,1021,0.9
2020,1,2,12,30,33.1,5,125,1011,0.16,1020,1.4000000000000001
2020,1,2,13,30,33.4,4.9,120,997,0.16,1020,1.8
2020,1,2,14,30,33.2,5.1000000000000005,114,967,0.16,1019,2.1
2020,1,2,15,30,32.5,5.4,105,914,0.16,1019,2.4000000000000004
2020,1,2,16,30,31.3,5.9,91,823,0.16,1018,2.7
2020,1,2,17,30,29.5,6.6000000000000005,70,661,0.16,1018,2.7
2020,1,2,18,30,27.1,7.5,34,314,0.16,1018,2.8000000000000003
2020,1,2,19,30,25.200000000000003,8.6,0,0,0.16,1018,2.8000000000000003
2020,1,2,20,30,24,9.5,0,0,0.16,1018,2.8000000000000003
2020,1,2,21,30,23.200000000000003,9.8,0,0,0.16,1017,2.7
2020,1,2,22,30,22.700000000000003,9.4,0,0,0.16,1017,2.6
2020,1,2,23,30,22.400000000000002,8.1,0,0,0.16,1016,2.6
2020,1,3,0,30,22.200000000000003,6.6000000000000005,0,0,0.16,1015,2.5
2020,1,3,1,30,22.1,5.1000000000000005,0,0,0.16,1014,2.4000000000000004
2020,1,3,2,30,22.1,3.8000000000000003,0,0,0.16,1014,2.4000000000000004
2020,1,3,3,30,22.200000000000003,2.7,0,0,0.16,1014,2.4000000000000004
2020,1,3,4,30,23.200000000000003,2.1,0,0,0.16,1015,2.8000000000000003
2020,1,3,5,30,25.700000000000003,1.9000000000000001,53,358,0.16,1015,3.5
2020,1,3,6,30,29.1,2.4000000000000004,88,686,0.16,1015,4
2020,1,3,7,30,32.6,3.1,114,816,0.16,1014,4.3
2020,1,3,8,30,34,3,131,892,0.16,1014,4.6000000000000005
2020,1,3,9,30,36.300000000000004,2.7,188,848,0.16,1013,4.5
2020,1,3,10,30,37.6,2.2,175,926,0.16,1011,4.5
2020,1,3,11,30,38.7,1.6,157,978,0.16,1010,4.4
2020,1,3,12,30,39.2,1.2000000000000002,153,979,0.16,1009,4.2
2020,1,3,13,30,39.1,1,147,965,0.16,1008,4
2020,1,3,14,30,38.800000000000004,1.2000000000000002,141,923,0.16,1007,3.9000000000000004
2020,1,3,15,30,38.2,1.5,133,843,0.16,1007,3.7
2020,1,3,16,30,37.2,1.9000000000000001,120,716,0.16,1007,3.1
2020,1,3,17,30,35.4,2.3000000000000003,95,500,0.16,1007,1.8
2020,1,3,18,30,32.800000000000004,2.7,37,110,0.16,1007,1.1
2020,1,3,19,30,30.200000000000003,4.2,0,0,0.16,1009,2.4000000000000004
2020,1,3,20,30,27.1,8.9,0,0,0.16,1010,4.9
2020,1,3,21,30,24,13.700000000000001,0,0,0.16,1011,6.2
2020,1,3,22,30,22.1,15.700000000000001,0,0,0.16,1012,6
2020,1,3,23,30,21.3,16.2,0,0,0.16,1013,5.800000000000001
2020,1,4,0,30,20.900000000000002,16.2,0,0,0.16,1013,5.5
2020,1,4,1,30,20.6,16.400000000000002,0,0,0.16,1013,5.1000000000000005
2020,1,4,2,30,20.400000000000002,16.7,0,0,0.16,1014,4.9
2020,1,4,3,30,20.200000000000003,16.5,0,0,0.16,1015,5.1000000000000005
2020,1,4,4,30,20.1,15.8,0,0,0.16,1016,5.2
2020,1,4,5,30,20.6,14.700000000000001,16,0,0.16,1017,5.300000000000001
2020,1,4,6,30,21.5,13.9,110,55,0.16,1018,5.5
2020,1,4,7,30,22.3,13.3,142,11,0.16,1019,5.9
2020,1,4,8,30,22.700000000000003,12.8,177,8,0.16,1019,6
2020,1,4,9,30,23.5,12.200000000000001,349,82,0.16,1020,6
2020,1,4,10,30,24,11.600000000000001,433,56,0.16,1020,6
2020,1,4,11,30,24.3,11,515,143,0.16,1021,6.1000000000000005
2020,1,4,12,30,24,10.4,501,217,0.16,1021,6.1000000000000005
2020,1,4,13,30,23.5,10.100000000000001,311,610,0.16,1021,5.800000000000001
2020,1,4,14,30,23,10,322,445,0.16,1021,5.6000000000000005
2020,1,4,15,30,22.200000000000003,10,284,365,0.16,1021,5.6000000000000005
2020,1,4,16,30,20.900000000000002,10,136,6,0.16,1022,5.6000000000000005
2020,1,4,17,30,19.5,10,102,107,0.16,1023,5.4
