Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1955370,-,Victoria,Australia,-37.83,144.98,10,22,10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,Dew Point,DHI,DNI,Surface Albedo,Pressure,Wind Speed
2018,1,1,0,30,21,13.4,0,0,0.15,1009,1.7000000000000002
2018,1,1,1,30,20,14.600000000000001,0,0,0.15,1009,2.1
2018,1,1,2,30,19.400000000000002,15.4,0,0,0.15,1009,2.4000000000000004
2018,1,1,3,30,19,16.2,0,0,0.15,1009,2.5
2018,1,1,4,30,19.1,17,0,0,0.15,1010,2.2
2018,1,1,5,30,20.5,17.2,32,71,0.15,1010,1.9000000000000001
2018,1,1,6,30,22.6,17,89,450,0.15,1011,1.7000000000000002
2018,1,1,7,30,24.5,15.9,196,194,0.15,1011,1.5
2018,1,1,8,30,26,14.5,286,82,0.15,1011,1.7000000000000002
2018,1,1,9,30,26.700000000000003,13.100000000000001,369,81,0.15,1011,1.8
2018,1,1,10,30,23,12.600000000000001,107,984,0.13,1006,2.5
2018,1,1,11,30,24.400000000000002,12.3,108,1004,0.13,1005,2.6
2018,1,1,12,30,25.3,12.100000000000001,108,1010,0.13,1005,2.6
2018,1,1,13,30,25.8,12,108,999,0.13,1004,2.9000000000000004
2018,1,1,14,30,25.700000000000003,12,106,977,0.13,1003,3.3000000000000003
2018,1,1,15,30,25,12,102,932,0.13,1003,4
2018,1,1,16,30,23.6,12.200000000000001,96,857,0.13,1004,4.7
2018,1,1,17,30,21.6,12.4,86,735,0.13,1004,5
2018,1,1,18,30,19.3,12.8,64,509,0.13,1005,4.800000000000001
2018,1,1,19,30,17.5,13,16,79,0.13,1006,4.1000000000000005
2018,1,1,20,30,16.5,13.100000000000001,0,0,0.13,1007,3.5
2018,1,1,21,30,15.9,13.200000000000001,0,0,0.13,1007,3
2018,1,1,22,30,15.5,13.200000000000001,0,0,0.13,1007,2.7
2018,1,1,23,30,15.200000000000001,13.100000000000001,0,0,0.13,1006,2.5
2018,1,2,0,30,14.9,13,0,0,0.13,1006,2.3000000000000003
2018,1,2,1,30,14.700000000000001,12.9,0,0,0.13,1005,1.9000000000000001
2018,1,2,2,30,14.5,12.8,0,0,0.13,1005,1.7000000000000002
2018,1,2,3,30,14.3,12.700000000000001,0,0,0.13,1005,1.6
2018,1,2,4,30,14.5,12.600000000000001,0,0,0.13,1005,1.6
2018,1,2,5,30,15.3,12.8,28,159,0.13,1006,1.9000000000000001
2018,1,2,6,30,16.400000000000002,12.700000000000001,84,383,0.13,1006,2.3000000000000003
2018,1,2,7,30,17.400000000000002,12.4,126,575,0.13,1006,2.5
2018,1,2,8,30,18.7,12.100000000000001,249,384,0.13,1006,2.8000000000000003
2018,1,2,9,30,19.400000000000002,11.8,214,689,0.13,1007,3
2018,1,2,10,30,21.1,11.5,390,425,0.13,1006,3.5
2018,1,2,11,30,21.900000000000002,11.100000000000001,115,996,0.13,1006,3.7
2018,1,2,12,30,22.5,10.8,177,886,0.13,1006,3.8000000000000003
2018,1,2,13,30,22.6,10.600000000000001,116,990,0.13,1006,4
2018,1,2,14,30,22.400000000000002,10.5,116,963,0.13,1006,4.4
2018,1,2,15,30,21.8,10.5,115,914,0.13,1006,4.800000000000001
2018,1,2,16,30,20.6,10.600000000000001,110,832,0.13,1007,5.1000000000000005
2018,1,2,17,30,19,10.700000000000001,106,618,0.13,1008,5.1000000000000005
2018,1,2,18,30,17.400000000000002,11,79,275,0.13,1009,4.800000000000001
2018,1,2,19,30,16.5,11.100000000000001,13,13,0.13,1010,4.2
2018,1,2,20,30,16.2,11.100000000000001,0,0,0.13,1010,3.6
2018,1,2,21,30,16,10.9,0,0,0.13,1011,3.3000000000000003
2018,1,2,22,30,15.700000000000001,10.8,0,0,0.13,1011,3.2
2018,1,2,23,30,15.200000000000001,11,0,0,0.13,1011,3
2018,1,3,0,30,14.700000000000001,11.200000000000001,0,0,0.13,1010,3
2018,1,3,1,30,14.5,11.600000000000001,0,0,0.13,1010,3
2018,1,3,2,30,14.4,11.9,0,0,0.13,1010,3.1
2018,1,3,3,30,14.4,12,0,0,0.13,1010,3.1
2018,1,3,4,30,14.5,12,0,0,0.13,1011,3.1
2018,1,3,5,30,15.3,11.9,29,162,0.13,1011,3.5
2018,1,3,6,30,16.6,11.5,70,8,0.13,1012,4.1000000000000005
2018,1,3,7,30,17.900000000000002,10.700000000000001,154,199,0.13,1013,4.3
2018,1,3,8,30,19,10.200000000000001,276,95,0.13,1013,4.3
2018,1,3,9,30,19.6,10,304,158,0.13,1013,4.4
2018,1,3,10,30,21,9.8,403,400,0.13,1013,4.5
2018,1,3,11,30,21.6,9.700000000000001,304,690,0.13,1013,4.5
2018,1,3,12,30,22.1,9.600000000000001,123,976,0.13,1013,4.5
2018,1,3,13,30,22.1,9.5,285,701,0.13,1013,4.6000000000000005
